lat,lon,ele,time,x,y,dt,seg,step,speed,heading,turn,cum_dist,elapsed
41.384586,2.117138,76.696,2026-06-01 13:18:56+00:00,-124.96487494029283,155.1990128837172,,0,,,,,0.0,0.0
41.384206,2.117136,76.631,2026-06-01 13:19:02+00:00,-125.13173517176192,112.94494075864037,6.0,0,42.254401587148756,7.042400264524793,-1.5747452802501234,,42.254401587148756,6.0
41.38416,2.117145,78.624,2026-06-01 13:19:09+00:00,-124.38086413026711,107.82997413327844,7.0,0,5.169786349504387,0.7385409070720553,-1.4250385827352954,0.14970669751482824,47.42418793665314,13.0
41.384143,2.117219,78.609,2026-06-01 13:19:13+00:00,-118.20703556700545,105.93966038062719,4.0,0,6.456736421134757,1.6141841052836892,-0.2971184490681709,1.127920133667125,53.8809243577879,17.0
41.384123,2.117276,67.121,2026-06-01 13:19:20+00:00,-113.45151897098226,103.71576184743058,7.0,0,5.249825023846599,0.749975003406657,-0.4374310928359317,-0.14031264376776065,59.130749381634494,24.0
41.384133,2.117347,66.695,2026-06-01 13:19:24+00:00,-107.52798075487448,104.82771111332157,4.0,0,6.02700059462457,1.5067501486561425,0.18555764411392384,0.6229887369498552,65.15774997625907,28.0
41.384154,2.117412,66.616,2026-06-01 13:19:28+00:00,-102.10502323310762,107.16280457360239,4.0,0,5.90433143981044,1.47608285995261,0.4065993344550809,0.22104169034115717,71.0620814160695,32.0
41.384087,2.117281,66.621,2026-06-01 13:19:33+00:00,-113.0343683923593,99.71274448795964,5.0,0,13.22701708208413,2.645403416416826,-2.5432840834820225,-2.9498834179371034,84.28909849815363,37.0
41.384149,2.117355,67.135,2026-06-01 13:19:35+00:00,-106.86053982913081,106.60682994030324,2.0,0,9.254435334062883,4.6272176670314416,0.8404588928574029,-2.899442330840161,93.54353383221653,39.0
41.38412,2.117289,86.184,2026-06-01 13:19:37+00:00,-112.36692746661562,103.38217706759256,2.0,0,6.38111988319658,3.19055994159829,-2.611813499123728,2.8309129151984553,99.9246537154131,41.0
41.384088,2.117233,74.65,2026-06-01 13:19:44+00:00,-117.03901394692086,99.82393941433654,7.0,0,5.872771686052504,0.8389673837217863,-2.490711958104669,0.12110154101905879,105.7974254014656,48.0
41.384054,2.117181,74.617,2026-06-01 13:19:49+00:00,-121.37737996435425,96.04331190903403,5.0,0,5.754525526493967,1.1509051052987933,-2.4247822590752546,0.06592969902941448,111.55195092795957,53.0
41.384034,2.117111,73.674,2026-06-01 13:19:54+00:00,-127.21748806474407,93.81941337583743,5.0,0,6.249206934499199,1.2498413868998397,-2.7777489611838324,-0.35296670210857783,117.80115786245877,58.0
41.384023,2.117034,72.679,2026-06-01 13:19:59+00:00,-133.64160697515962,92.59626918286223,5.0,0,6.539524867447753,1.3079049734895505,-2.9534458811775433,-0.17569691999371084,124.34068272990652,63.0
41.383952,2.116871,72.605,2026-06-01 13:20:03+00:00,-147.2407158374855,84.70142939100455,4.0,0,15.724638539199875,3.9311596347999687,-2.615604161810343,0.3378417193672001,140.0653212691064,67.0
41.384,2.116977,84.625,2026-06-01 13:20:06+00:00,-138.3971235711828,90.0387858698276,3.0,0,10.32939970930759,3.4431332364358638,0.543009657445364,-3.1245714879238786,150.39472097841397,70.0
41.383987,2.116913,82.109,2026-06-01 13:20:08+00:00,-143.73665097726487,88.59325182339128,2.0,0,5.531737665481637,2.7658688327408183,-2.8772068633781167,2.862968786356106,155.92645864389561,72.0
41.383985,2.116838,77.639,2026-06-01 13:20:12+00:00,-149.99390965624448,88.37086197063748,4.0,0,6.26120942169111,1.5653023554227774,-3.1060665076603966,-0.2288596442822799,162.18766806558673,76.0
41.38393,2.116844,69.643,2026-06-01 13:20:18+00:00,-149.49332896193673,82.25514100505416,6.0,0,6.13617339719055,1.022695566198425,-1.48912692716134,1.6169395804990563,168.3238414627773,82.0
41.383878,2.116812,69.624,2026-06-01 13:20:24+00:00,-152.1630926649446,76.47300482001617,6.0,0,6.368731199558035,1.0614551999263393,-2.0033588517150447,-0.5142319245537044,174.69257266233532,88.0
41.383826,2.11678,69.679,2026-06-01 13:20:29+00:00,-154.83285636798564,70.69086863356355,5.0,0,6.368731200856278,1.2737462401712556,-2.00335885162666,8.838485499040871e-11,181.0613038631916,93.0
41.383777,2.116789,69.663,2026-06-01 13:20:33+00:00,-154.081985326524,65.2423172283636,4.0,0,5.500047248525419,1.3750118121313548,-1.4338478175041416,0.5695110341225185,186.56135111171702,97.0
41.383727,2.1168,69.622,2026-06-01 13:20:37+00:00,-153.16425405359328,59.682570896079426,4.0,0,5.634980919990982,1.4087452299977454,-1.407204374955776,0.02664344254836548,192.196332031708,101.0
41.383681,2.116807,69.628,2026-06-01 13:20:40+00:00,-152.5802432435344,54.567604270717496,3.0,0,5.148198928249767,1.7160663094165889,-1.4571117753345253,-0.04990740037874897,197.34453095995778,104.0
41.383633,2.116817,69.665,2026-06-01 13:20:44+00:00,-151.74594208632163,49.23024779189444,4.0,0,5.402169249751528,1.350542312437882,-1.4157375466462057,0.041374228688319636,202.7467002097093,108.0
41.383596,2.116874,69.672,2026-06-01 13:20:48+00:00,-146.99042549029846,45.11603550533927,4.0,0,6.288217619794447,1.5720544049486118,-0.713221177791068,0.7025163688551377,209.03491782950374,112.0
41.383572,2.116934,68.625,2026-06-01 13:20:52+00:00,-141.98461854712139,42.447357266635066,4.0,0,5.672737143045957,1.4181842857614892,-0.48978849018414766,0.22343268760692014,214.7076549725497,116.0
41.383541,2.116977,66.626,2026-06-01 13:20:56+00:00,-138.3971235711828,39.000314540463265,4.0,0,4.975160676645388,1.243790169161347,-0.7654347206455054,-0.2756462304613576,219.6828156491951,120.0
41.383493,2.117013,65.608,2026-06-01 13:21:01+00:00,-135.39363940526994,33.66295806164021,5.0,0,6.124401302733488,1.2248802605466975,-1.058233082723974,-0.2927983620784689,225.80721695192858,125.0
41.383444,2.117035,64.609,2026-06-01 13:21:05+00:00,-133.55817685944166,28.214406655732937,4.0,0,5.749403028137144,1.437350757034286,-1.245864667670764,-0.18763158494679022,231.55661998006573,129.0
41.383393,2.117056,64.634,2026-06-01 13:21:10+00:00,-131.80614442933134,22.54346539636454,5.0,0,5.935418469102671,1.1870836938205342,-1.271149667064269,-0.025284999393504926,237.4920384491684,134.0
41.383349,2.117091,63.648,2026-06-01 13:21:15+00:00,-128.88609037913642,17.650888624463732,5.0,0,5.697720871103031,1.1395441742206063,-1.0327083383413795,0.2384413287228897,243.18975932027143,139.0
41.383299,2.117111,62.619,2026-06-01 13:21:19+00:00,-127.21748806474407,12.091142292179558,4.0,0,5.804740559486084,1.451185139871521,-1.279227588736876,-0.2465192503954965,248.9944998797575,143.0
41.383254,2.117128,62.684,2026-06-01 13:21:23+00:00,-125.7991760975056,7.087370593194531,4.0,0,5.200898004381108,1.300224501095277,-1.2945926310509333,-0.01536504231405722,254.19539788413863,147.0
41.383071,2.117204,62.158,2026-06-01 13:21:27+00:00,-119.45848730280801,-13.261300982583602,4.0,0,21.313675640069324,5.328418910017331,-1.268729683081939,0.02586294796899402,275.50907352420796,151.0
41.38314,2.117174,70.637,2026-06-01 13:21:29+00:00,-121.96139077441313,-5.588851044187049,2.0,0,8.070378791938719,4.035189395969359,1.8861309073776793,-3.128324716719968,283.57945231614667,153.0
41.383105,2.117216,65.653,2026-06-01 13:21:36+00:00,-118.45732591415933,-9.480673476573775,7.0,0,5.236864748119246,0.7481235354456066,-0.8377790143821122,-2.7239099217597915,288.81631706426595,160.0
41.383058,2.117211,65.63,2026-06-01 13:21:41+00:00,-118.87447649274912,-14.706835029019928,5.0,0,5.242783533342205,1.0485567066684411,-1.6504471434652177,-0.8126681290831055,294.05910059760816,165.0
41.383007,2.117232,64.647,2026-06-01 13:21:46+00:00,-117.12244406263882,-20.377776287681005,5.0,0,5.935418468426865,1.187083693685373,-1.2711496670290945,0.3792974764361232,299.994519066035,170.0
