lat,lon,ele,time,x,y
41.384753,2.118466,58.415,2026-06-01 13:17:26.380000+00:00,-8.959636243251191,89.9745740563127
41.385173,2.116694,58.665,2026-06-01 13:19:15.579000+00:00,-156.79608805577757,136.67644324707538
41.385223,2.116718,58.511,2026-06-01 13:19:17.579000+00:00,-154.79378848267362,142.23618957935957
41.38525,2.116655,58.409,2026-06-01 13:19:20.579000+00:00,-160.04982486199683,145.2384525979018
41.385247,2.116586,58.693,2026-06-01 13:19:26.996000+00:00,-165.80643613464576,144.90486781806376
41.385234,2.116525,58.867,2026-06-01 13:19:31.997000+00:00,-170.89561421618265,143.45933377162746
41.385204,2.116461,59.158,2026-06-01 13:19:36.998000+00:00,-176.23507974441557,140.12348597253987
41.385189,2.116384,59.133,2026-06-01 13:19:40.998000+00:00,-182.6591242080439,138.45556207264244
41.385166,2.116314,59.517,2026-06-01 13:19:44.998000+00:00,-188.4991646295362,135.8980787596078
41.385151,2.116252,59.694,2026-06-01 13:19:49.998000+00:00,-193.671771860016,134.23015486041768
41.385099,2.116235,59.699,2026-06-01 13:19:52.998000+00:00,-195.09006739091762,128.44801867467237
41.385042,2.116211,59.569,2026-06-01 13:19:55.998000+00:00,-197.09236696402158,122.10990785562792
41.384994,2.116231,59.295,2026-06-01 13:20:00.998000+00:00,-195.42378398645707,116.77255137680487
41.384945,2.116225,58.915,2026-06-01 13:20:03.998000+00:00,-195.92435887971646,111.32399997160492
41.384894,2.116226,58.865,2026-06-01 13:20:07.998000+00:00,-195.84092973083992,105.65305871294383
41.384838,2.116237,58.811,2026-06-01 13:20:11.998000+00:00,-194.92320909319767,99.42614282098361
41.384779,2.11625,57.709,2026-06-01 13:20:16.998000+00:00,-193.83863015776913,92.86564214847803
41.384725,2.116248,58.133,2026-06-01 13:20:20.998000+00:00,-194.00548845552228,86.86111610997894
41.384675,2.116259,58.267,2026-06-01 13:20:24.998000+00:00,-193.08776781788004,81.30136977769476
41.384618,2.11627,58.198,2026-06-01 13:20:28.998000+00:00,-192.17004718017148,74.96325895935763
41.384569,2.116282,57.863,2026-06-01 13:20:32.998000+00:00,-191.16889739365268,69.51470755345035
41.38452,2.116302,58.077,2026-06-01 13:20:36.998000+00:00,-189.50031441608817,64.06615614754307
41.384471,2.11631,58.134,2026-06-01 13:20:40.998000+00:00,-188.83288122507565,58.6176047416358
41.384423,2.116318,58.889,2026-06-01 13:20:44.998000+00:00,-188.16544803402994,53.28024826281275
41.384372,2.116362,58.899,2026-06-01 13:20:48.998000+00:00,-184.4945654833947,47.60930700415167
41.384331,2.116404,58.925,2026-06-01 13:20:52.998000+00:00,-180.99054123047938,43.05031501208889
41.384285,2.116414,57.833,2026-06-01 13:20:56.998000+00:00,-180.1562497417137,37.93534838601964
41.384242,2.116452,57.623,2026-06-01 13:21:00.998000+00:00,-176.9859420843047,33.15396654049574
41.384199,2.116498,56.915,2026-06-01 13:21:04.998000+00:00,-173.14820123591628,28.372584694971835
41.384153,2.116544,57.209,2026-06-01 13:21:08.998000+00:00,-169.31046038749471,23.257618068902588
41.384105,2.116547,57.185,2026-06-01 13:21:12.998000+00:00,-169.06017294086502,17.920261590079534
41.384056,2.11657,56.999,2026-06-01 13:21:16.998000+00:00,-167.141302516704,12.47171018487958
