lat,lon,ele,time,x,y
41.384708,2.118081,61.039,2026-06-01 13:15:22+00:00,37.38130476229044,101.79701137667973
41.384649,2.118106,61.001,2026-06-01 13:15:23+00:00,39.467038337952005,95.23651070417417
41.384606,2.118124,61.021,2026-06-01 13:15:24+00:00,40.96876651238056,90.45512885794294
41.384641,2.11807,61.009,2026-06-01 13:15:29+00:00,36.46358198899537,94.34695129103699
41.384662,2.118137,61.035,2026-06-01 13:15:35+00:00,42.05334797172325,96.68204475061049
41.385229,2.117954,61.089,2026-06-01 13:16:41+00:00,26.785778198034517,159.72956815838768
41.38519,2.117991,61.03,2026-06-01 13:17:01+00:00,29.872663889981787,155.3929660190787
41.382336,2.117596,61.085,2026-06-01 13:27:45+00:00,-3.0819266051524745,-161.957354624505
41.382374,2.117562,62.949,2026-06-01 13:30:04+00:00,-5.918524267995148,-157.73194741228025
41.382412,2.117523,62.887,2026-06-01 13:30:10+00:00,-9.172268646023205,-153.50654019934817
41.382465,2.117504,62.694,2026-06-01 13:30:15+00:00,-10.757426163508745,-147.61320908722598
41.382513,2.117537,61.53,2026-06-01 13:30:20+00:00,-8.00425784365671,-142.27585260840291
41.382549,2.117588,61.749,2026-06-01 13:30:25+00:00,-3.749361349342946,-138.2728352496393
41.382582,2.117643,62.243,2026-06-01 13:30:30+00:00,0.8392525170992232,-134.60340267000637
41.382603,2.1177,62.364,2026-06-01 13:30:34+00:00,5.5947250695558415,-132.26830921043288
41.382632,2.117758,62.21,2026-06-01 13:30:39+00:00,10.4336269650031,-129.04365633772218
41.382679,2.117735,62.409,2026-06-01 13:30:43+00:00,8.514752075455494,-123.81749478527604
41.382721,2.117708,62.736,2026-06-01 13:30:47+00:00,6.2621598137463135,-119.14730786683636
41.382721,2.117639,63.15,2026-06-01 13:30:55+00:00,0.5055351449708183,-119.14730786683636
41.382758,2.117591,59.021,2026-06-01 13:31:47+00:00,-3.499073320271519,-115.03309558028118
41.382802,2.117564,58.276,2026-06-01 13:31:56+00:00,-5.751665581980699,-110.14051880838038
41.38279,2.117623,57.76,2026-06-01 13:33:45+00:00,-0.8293343434432942,-111.47485792773249
41.382755,2.117671,57.748,2026-06-01 13:33:52+00:00,3.1752741217990432,-115.3666803601192
41.382708,2.117695,57.075,2026-06-01 13:33:57+00:00,5.177578354403628,-120.59284191256536
41.382665,2.117725,56.681,2026-06-01 13:34:02+00:00,7.680458645184235,-125.37422375808927
41.382622,2.117687,55.88,2026-06-01 13:34:08+00:00,4.510143610213156,-130.1556056043205
41.382593,2.117631,55.485,2026-06-01 13:34:13+00:00,-0.16189959925282238,-133.38025847703116
41.382569,2.117572,55.589,2026-06-01 13:34:18+00:00,-5.084230837757058,-136.04893671715
41.382552,2.117516,55.917,2026-06-01 13:34:23+00:00,-9.7562740471567,-137.93925046980127
41.382512,2.117475,56.509,2026-06-01 13:34:29+00:00,-13.176877111199206,-142.38704753548714
41.382465,2.117474,56.69,2026-06-01 13:34:33+00:00,-13.260306454256183,-147.61320908722598
41.382417,2.117453,56.614,2026-06-01 13:34:38+00:00,-15.012322657822509,-152.95056556675635
41.382374,2.117426,56.635,2026-06-01 13:34:42+00:00,-17.26491491949852,-157.73194741228025
41.382327,2.117393,56.42,2026-06-01 13:34:47+00:00,-20.018083239350553,-162.9581089647264
41.382289,2.117346,56.254,2026-06-01 13:34:51+00:00,-23.939262361535913,-167.18351617695114
41.382258,2.117288,55.822,2026-06-01 13:34:56+00:00,-28.77816425704951,-170.63055890312296
41.382231,2.117227,56.359,2026-06-01 13:35:01+00:00,-33.867354181568196,-173.6328219223725
41.382212,2.117169,56.965,2026-06-01 13:35:05+00:00,-38.70625607704862,-175.74552552848488
41.382195,2.117113,57.174,2026-06-01 13:35:09+00:00,-43.378299286514604,-177.63583928113613
41.382177,2.117056,57.773,2026-06-01 13:35:13+00:00,-48.13377183897122,-179.63734796157894
41.382162,2.116987,58.085,2026-06-01 13:35:18+00:00,-53.890396507746715,-181.30527186076907
41.382146,2.116925,58.513,2026-06-01 13:35:23+00:00,-59.06301577532238,-183.0843906870434
41.38213,2.11686,58.609,2026-06-01 13:35:28+00:00,-64.48592307200263,-184.86350951402508
41.382123,2.116798,59.499,2026-06-01 13:35:33+00:00,-69.65854233954514,-185.64187400007802
41.382115,2.116726,59.853,2026-06-01 13:35:39+00:00,-75.66545503742522,-186.5314334132152
41.382094,2.116668,60.034,2026-06-01 13:35:44+00:00,-80.50435693287248,-188.8665268727887
41.382079,2.116611,60.389,2026-06-01 13:35:49+00:00,-85.25982948539543,-190.53445077268617
41.382069,2.116544,61.043,2026-06-01 13:35:55+00:00,-90.84959546805698,-191.64640003857713
41.382057,2.116483,61.081,2026-06-01 13:36:00+00:00,-95.938785392642,-192.98073915792924
41.382037,2.116419,63.078,2026-06-01 13:36:05+00:00,-101.27826334626528,-195.20463769183317
41.382017,2.116364,63.264,2026-06-01 13:36:09+00:00,-105.86687721270745,-197.42853622432244
41.381998,2.116309,63.013,2026-06-01 13:36:13+00:00,-110.45549107908327,-199.54123983043482
41.381982,2.116247,63.385,2026-06-01 13:36:17+00:00,-115.62811034669211,-201.32035865670917
41.381959,2.116181,63.889,2026-06-01 13:36:22+00:00,-121.13444698636302,-203.8778419697438
41.381939,2.11612,63.817,2026-06-01 13:36:27+00:00,-126.22363691094803,-206.10174050223307
41.381928,2.116062,63.309,2026-06-01 13:36:32+00:00,-131.06253880642845,-207.32488469520825
41.381912,2.115997,62.87,2026-06-01 13:36:37+00:00,-136.48544610307556,-209.10400352218994
41.3819,2.115939,62.794,2026-06-01 13:36:41+00:00,-141.32434799858916,-210.43834264154205
41.381887,2.115878,62.665,2026-06-01 13:36:45+00:00,-146.413537923141,-211.88387668797836
