angle_rad,angle_deg,density
-3.076142806640006,-176.25,0.02046734700177089
-2.945243112740431,-168.75,0.025584183752213528
-2.8143434188408563,-161.25,0.010233673500885445
-2.6834437249412817,-153.75,0.05628520425486996
-2.552544031041707,-146.25,0.020467347001770823
-2.421644337142132,-138.75,0.01535051025132817
-2.2907446432425576,-131.25,0.02046734700177089
-2.159844949342983,-123.75000000000001,0.02046734700177089
-2.028945255443408,-116.25,0.010233673500885412
-1.8980455615438334,-108.75,0.005116836750442722
-1.7671458676442588,-101.25000000000001,0.005116836750442714
-1.6362461737446838,-93.75,0.025584183752213573
-1.5053464798451093,-86.25,0.005116836750442722
-1.3744467859455347,-78.75000000000001,0.030701020502656287
-1.24354709204596,-71.25000000000001,0.03070102050265634
-1.1126473981463851,-63.75000000000001,0.025584183752213573
-0.9817477042468106,-56.250000000000014,0.07675255125664084
-0.8508480103472358,-48.75000000000001,0.09210306150796868
-0.719948316447661,-41.25000000000001,0.12280408201062536
-0.5890486225480864,-33.750000000000014,0.15862193926372442
-0.45814892864851164,-26.250000000000007,0.36329540928143206
-0.32724923474893686,-18.750000000000004,0.5270341852956004
-0.1963495408493623,-11.250000000000012,0.7777591860672938
-0.0654498469497875,-3.7500000000000084,1.49411633112927
0.06544984694978728,3.7499999999999956,1.3866627593699778
0.19634954084936185,11.249999999999988,0.7061234715610958
0.3272492347489364,18.74999999999998,0.46051530753984504
0.4581489286485112,26.249999999999982,0.30701020502656234
0.589048622548086,33.749999999999986,0.23537449052036524
0.7199483164476606,41.24999999999998,0.12280408201062536
0.8508480103472353,48.749999999999986,0.06651887775575517
0.9817477042468101,56.249999999999986,0.08186938800708356
1.1126473981463847,63.74999999999998,0.06140204100531268
1.2435470920459593,71.24999999999997,0.05116836750442723
1.3744467859455338,78.74999999999996,0.04093469400354178
1.5053464798451088,86.24999999999997,0.025584183752213437
1.6362461737446838,93.75,0.025584183752213614
1.7671458676442584,101.24999999999999,0.02046734700177089
1.898045561543833,108.74999999999997,0.01535051025132817
2.0289452554434075,116.24999999999997,0.005116836750442722
2.159844949342982,123.74999999999996,0.01535051025132817
2.290744643242557,131.24999999999997,0.0
2.421644337142132,138.75,0.0
2.5525440310417067,146.25,0.01535051025132817
2.6834437249412812,153.74999999999997,0.010233673500885445
2.814343418840856,161.24999999999997,0.02046734700177089
2.9452431127404304,168.74999999999997,0.01535051025132817
3.0761428066400054,176.24999999999997,0.010233673500885377
