theta_rad,theta_deg,density
-3.141592653589793,-180.0,0.0007416769398367381
-3.125845321992852,-179.09774436090225,0.0007419923697945004
-3.1100979903959103,-178.1954887218045,0.0007429393864621034
-3.094350658798969,-177.29323308270676,0.0007445201726678786
-3.078603327202028,-176.39097744360902,0.0007467383746198581
-3.0628559956050867,-175.4887218045113,0.0007495991141803952
-3.047108664008145,-174.58646616541353,0.0007531090061175732
-3.031361332411204,-173.68421052631578,0.0007572761804006138
-3.0156140008142627,-172.78195488721806,0.0007621103096261354
-2.9998666692173215,-171.87969924812032,0.0007676226416820207
-2.98411933762038,-170.97744360902254,0.0007738260377759786
-2.9683720060234386,-170.07518796992483,0.0007807350159766229
-2.9526246744264975,-169.17293233082708,0.0007883658004361867
-2.936877342829556,-168.2706766917293,0.0007967363764858426
-2.9211300112326146,-167.3684210526316,0.0008058665518171361
-2.9053826796356734,-166.46616541353384,0.0008157780239863149
-2.8896353480387322,-165.5639097744361,0.0008264944545023796
-2.8738880164417906,-164.66165413533835,0.0008380415497846728
-2.8581406848448494,-163.7593984962406,0.0008504471493016963
-2.842393353247908,-162.85714285714286,0.0008637413212298055
-2.8266460216509666,-161.95488721804512,0.0008779564659984534
-2.8108986900540254,-161.05263157894737,0.0008931274281178709
-2.795151358457084,-160.15037593984962,0.0009092916167155435
-2.779404026860143,-159.24812030075188,0.0009264891352396163
-2.7636566952632013,-158.34586466165413,0.0009447629208205486
-2.74790936366626,-157.4436090225564,0.0009641588938169825
-2.732162032069319,-156.54135338345864,0.0009847261181079863
-2.7164147004723773,-155.6390977443609,0.0010065169727315937
-2.700667368875436,-154.73684210526315,0.0010295873355090355
-2.684920037278495,-153.8345864661654,0.0010539967793352374
-2.6691727056815537,-152.9323308270677,0.001079808781859104
-2.653425374084612,-152.0300751879699,0.0011070909493219284
-2.637678042487671,-151.12781954887217,0.0011359152553689176
-2.6219307108907297,-150.22556390977445,0.0011663582956974404
-2.606183379293788,-149.32330827067668,0.0011985015594561078
-2.590436047696847,-148.42105263157893,0.0012324317183612884
-2.5746887160999057,-147.5187969924812,0.0012682409345521474
-2.5589413845029645,-146.61654135338347,0.0013060271882616508
-2.543194052906023,-145.7142857142857,0.0013458946264393514
-2.5274467213090817,-144.81203007518798,0.0013879539335219923
-2.5116993897121405,-143.90977443609023,0.0014323227256100102
-2.495952058115199,-143.00751879699246,0.0014791259693717966
-2.4802047265182576,-142.10526315789474,0.0015284964270629944
-2.4644573949213164,-141.203007518797,0.001580575129115046
-2.4487100633243752,-140.30075187969925,0.0016355118758153364
-2.4329627317274336,-139.3984962406015,0.0016934657696706756
-2.4172154001304924,-138.49624060150376,0.001754605780115988
-2.401468068533551,-137.593984962406,0.0018191113423008211
-2.3857207369366096,-136.69172932330827,0.0018871729917572474
-2.3699734053396684,-135.78947368421052,0.001958993036823504
-2.354226073742727,-134.88721804511277,0.0020347862707679057
-2.338478742145786,-133.98496240601506,0.002114780725626564
-2.322731410548845,-133.0827067669173,0.002199218469835767
-2.306984078951903,-132.18045112781954,0.0022883564518048345
-2.291236747354962,-131.27819548872182,0.0023824673916370354
-2.2754894157580203,-130.37593984962405,0.002481840723264105
-2.259742084161079,-129.4736842105263,0.0025867835893128768
-2.243994752564138,-128.57142857142858,0.0026976218910697808
-2.2282474209671967,-127.66917293233084,0.0028147013959491187
-2.2125000893702556,-126.76691729323309,0.0029383889049029817
-2.196752757773314,-125.86466165413533,0.0030690734822331612
-2.1810054261763727,-124.9624060150376,0.0032071677502766654
-2.165258094579431,-124.06015037593983,0.003353109251435311
-2.14951076298249,-123.1578947368421,0.0035073618800040077
-2.1337634313855487,-122.25563909774436,0.0036704173862206423
-2.1180160997886075,-121.35338345864662,0.0038427969549099626
-2.1022687681916663,-120.45112781954889,0.004025052861023347
-2.0865214365947247,-119.54887218045113,0.004217770204282626
-2.0707741049977835,-118.64661654135338,0.004421568725017303
-2.055026773400842,-117.74436090225562,0.004637104703137724
