L_m,ccdf
22.448923179694866,1.0
22.47717370575181,0.9914529914529915
22.524656055141637,0.9829059829059829
22.577384979629713,0.9743589743589743
22.82301501242417,0.9658119658119658
22.900871431842855,0.9572649572649573
22.963500889494917,0.9487179487179487
23.365290810073056,0.9401709401709402
23.41954511493076,0.9316239316239316
23.641257240161426,0.9230769230769231
24.960480580891957,0.9145299145299145
25.785693402077055,0.905982905982906
26.02869745672354,0.8974358974358975
26.05342473167689,0.8888888888888888
26.70545075508308,0.8803418803418803
26.769162905828015,0.8717948717948718
26.774066430466533,0.8632478632478633
27.16513035805556,0.8547008547008547
27.36781413854707,0.8461538461538461
27.520933414061147,0.8376068376068376
27.62574685073566,0.829059829059829
27.952140336469427,0.8205128205128205
28.088437777405012,0.811965811965812
28.214720190814287,0.8034188034188035
28.500233347239302,0.7948717948717949
28.561893213313336,0.7863247863247863
28.901454312866683,0.7777777777777778
29.003347318259483,0.7692307692307692
29.130936354116894,0.7606837606837606
29.801608105782915,0.7521367521367521
30.34001597290101,0.7435897435897436
31.58850784193408,0.7350427350427351
32.27453803623058,0.7264957264957265
32.33019173677423,0.717948717948718
32.33103132422913,0.7094017094017093
32.58597220022478,0.7008547008547008
32.67664325974246,0.6923076923076923
32.690808477995255,0.6837606837606838
32.841205494466124,0.6752136752136753
32.887081628809526,0.6666666666666667
32.92064942940272,0.6581196581196581
33.422248941826176,0.6495726495726496
33.7721386872031,0.641025641025641
34.45695616135339,0.6324786324786325
35.15208977416852,0.6239316239316239
35.180657572818134,0.6153846153846154
35.378212773043096,0.6068376068376069
35.43855093750639,0.5982905982905983
35.74073337290969,0.5897435897435898
36.336597200205766,0.5811965811965811
37.81542992316026,0.5726495726495726
38.08375641210318,0.5641025641025641
38.174062679232314,0.5555555555555556
38.18266981016302,0.5470085470085471
38.71608655122437,0.5384615384615384
38.76241231593379,0.5299145299145299
38.90315567982667,0.5213675213675213
39.17980724716831,0.5128205128205128
39.54325960716215,0.5042735042735043
43.188166553340366,0.49572649572649574
43.50111917451606,0.4871794871794872
44.23382519283782,0.4786324786324786
44.26153204957911,0.4700854700854701
44.4749500104375,0.46153846153846156
44.685455784598375,0.45299145299145294
45.098893306521184,0.4444444444444444
45.26274138433583,0.4358974358974359
45.449227223689405,0.4273504273504274
45.939146571207864,0.41880341880341876
46.02142547709349,0.41025641025641024
46.137845091277995,0.4017094017094017
47.37263873552744,0.3931623931623932
47.9799247433091,0.3846153846153846
49.55618184826206,0.37606837606837606
49.57749255427128,0.36752136752136755
50.08451467785984,0.3589743589743589
50.40060436492855,0.3504273504273504
50.8318305023893,0.3418803418803419
50.85808973203676,0.33333333333333337
51.009832712136976,0.32478632478632474
51.335754695305305,0.3162393162393162
52.81474546185243,0.3076923076923077
56.086035243166506,0.2991452991452992
57.890080804742084,0.29059829059829057
58.92493559545515,0.28205128205128205
59.50427115541862,0.27350427350427353
62.514045952606445,0.2649572649572649
64.86978414214639,0.2564102564102564
65.07233008175129,0.24786324786324787
71.50090630683464,0.23931623931623935
71.51519706998016,0.23076923076923073
71.5467614643426,0.2222222222222222
73.1565241477188,0.2136752136752137
73.53933081419231,0.20512820512820518
74.1471415419301,0.19658119658119655
75.79340815144438,0.18803418803418803
81.65194291650629,0.17948717948717952
81.89440840371033,0.1709401709401709
84.31398647180812,0.16239316239316237
90.17003344729773,0.15384615384615385
92.30715939444715,0.14529914529914534
98.7027649778184,0.1367521367521367
102.96555023502663,0.1282051282051282
103.18152488801863,0.11965811965811968
104.8366907333938,0.11111111111111116
111.75003039965883,0.10256410256410253
112.05270670418875,0.09401709401709402
113.84925824923975,0.0854700854700855
117.53255320280562,0.07692307692307687
125.99377730915127,0.06837606837606836
129.59847417310795,0.05982905982905984
137.53289714803063,0.05128205128205132
139.19840320568483,0.042735042735042694
139.4403269585866,0.03418803418803418
155.03767629330795,0.02564102564102566
156.071297184286,0.017094017094017144
217.7694688130827,0.008547008547008517
