group,x_m,y_m
Group 2,163.90197452712704,124.93466565379651
Group 2,165.7374291647941,119.48611424859656
Group 2,167.7397433149733,114.92712225582646
Group 2,169.65862770889643,110.25693533667946
Group 2,171.07693356528304,104.36360422455726
Group 2,169.15804917135992,99.35983252557223
Group 2,169.99234673395392,94.2448659002103
Group 2,165.7374291647941,91.35379780733766
Group 2,160.39792476427198,90.90901810041541
Group 2,153.38982523859497,92.1321622933906
Group 2,148.5508993756757,89.5746789810633
Group 2,143.79540326897936,87.79556015408163
Group 2,139.29019643105127,85.12688191537742
Group 2,134.20098129929738,82.6805935287197
Group 2,128.52775787375094,81.3462544093676
Group 2,123.02139396074982,79.90072036293128
Group 2,119.43391444167182,76.34248271038257
Group 2,114.6784183349423,73.3402196904257
Group 2,109.92292222824594,70.8939313044753
Group 2,104.58341782775699,70.44915159826037
Group 2,98.40961586467402,70.22676174479925
Group 2,92.23581390155789,68.89242262544715
Group 2,86.72944998855677,67.4468885783035
Group 2,81.55680510054682,65.89015960549027
Group 2,75.80015191877744,64.33343063267705
Group 2,70.71093678702358,62.7767016591565
Group 2,66.62287873040908,59.88563356699117
Group 2,62.11767189248098,57.77292996017147
Group 2,56.44444846693452,57.43934518033345
Group 2,51.271803578957744,58.440099520554845
Group 2,47.10031576605398,61.66475239326552
Group 2,42.76196844063806,66.0013545325745
Group 2,40.09221624041017,71.00512623155953
Group 2,37.923042577685614,76.23128778329836
Group 2,36.17101769627466,81.12386455590648
Group 2,34.91957135240022,87.12839059440557
Group 2,32.33324890839524,92.1321622933906
Group 2,26.660025482881952,93.91128112037228
Group 2,20.402793763509727,93.46650141345003
Group 2,14.646140581740354,93.35530648707314
Group 2,9.890644475044,96.69115428616071
Group 2,7.304322031039026,102.13970569136066
Group 2,5.385437637115902,108.03303680419019
Group 2,3.1328342181352675,113.81517298922816
Group 2,1.2973795804682275,119.81969902843458
Group 2,0.21279274910595308,124.71227580033539
Group 2,-2.206670182386851,130.16082720624266
Group 2,-3.6249760387402965,135.83176846490375
Group 2,-5.043281895126912,141.83629450411019
Group 2,-6.0444389702331005,146.8400662030952
Group 2,-7.21245555785146,151.95503282845712
Group 2,-8.38047214543665,157.95955886766356
Group 2,-10.132497026880774,164.07527983253956
Group 2,-11.38394337072205,169.07905153152458
Group 2,-12.635389714596494,174.8611877179772
Group 2,-13.803406302214855,180.6433239030152
Group 2,-14.971422889800044,185.6470956020002
Group 2,-16.473158502475915,190.53967237460833
Group 2,-19.309770215215973,195.65463899997027
Group 2,-25.31671266578677,197.10017304640658
Group 2,-30.82307657882106,195.54344407359338
